UserID,DeviceID,LogTime,S No
554,OX-8862021010024,2022-09-27 17:33:56,13986
275,OX-8862021010094,2022-09-27 17:31:47,11331
64,FC-8300T20094179,2022-09-27 17:33:41,33963
125,OX-8862021010092,2022-09-27 17:32:52,23627
403,OX-8862021010013,2022-09-27 17:32:44,6613
570,FC-8300T20094179,2022-09-27 17:34:40,33964
638,OX-8862021010087,2022-09-27 17:35:55,257
675,OX-8862021010078,2022-09-27 17:38:52,13004
19,FC-8300T20094179,2022-09-27 17:38:39,33965
549,FC-8300T20094179,2022-09-27 17:39:16,33966
619,OX-8862021010096,2022-09-27 17:38:26,7542
673,OX-8862021010092,2022-09-27 17:40:33,23628
280,FC-8300T20094179,2022-09-27 17:43:37,33967
210,OX-8862021010001,2022-09-27 17:22:47,11322
570,FC-8300T20094179,2022-09-27 17:47:10,33968
504,OX-8862021010100,2022-09-27 17:48:55,18765
76,OX-8862021010099,2022-09-27 17:49:47,13384
290,OX-8862021010024,2022-09-27 17:50:48,13987
522,OX-8862021010092,2022-09-27 17:48:57,23629
672,OX-8862021010014,2022-09-27 17:50:16,22949
638,OX-8862021010087,2022-09-27 17:53:25,258
128,OX-8862021010079,2022-09-27 17:57:12,12557
290,OX-8862021010024,2022-09-27 17:56:05,13988
601,OX-8862021010002,2022-09-27 17:56:56,12559
513,FC-8300T20094181,2022-09-27 17:54:31,20198
403,OX-8862021010013,2022-09-27 17:56:36,6614
125,OX-8862021010092,2022-09-27 17:56:58,23630
89,OX-8862021010098,2022-09-27 17:59:26,13392
76,OX-8862021010099,2022-09-27 17:59:31,13385
528,OX-8862021010078,2022-09-27 18:00:46,13005
546,OX-8862021010097,2022-09-27 17:58:09,8138
204,OX-8862021010013,2022-09-27 17:58:09,6615
583,OX-8862021010100,2022-09-27 18:00:10,18766
675,OX-8862021010078,2022-09-27 18:01:44,13006
581,FC-8300T20094179,2022-09-27 18:00:58,33969
664,OX-8862021010097,2022-09-27 18:00:02,8139
89,OX-8862021010098,2022-09-27 18:03:24,13393
605,OX-8862021010015,2022-09-27 18:00:49,14881
522,OX-8862021010092,2022-09-27 18:01:41,23631
68,OX-8862021010012,2022-09-27 18:03:16,6035
535,OX-8862021010097,2022-09-27 18:02:45,8140
210,OX-8862021010001,2022-09-27 17:43:22,11323
651,OX-8862021010092,2022-09-27 18:04:10,23632
674,OX-8862021010100,2022-09-27 18:06:10,18767
89,OX-8862021010098,2022-09-27 18:06:49,13394
280,FC-8300T20094179,2022-09-27 18:06:05,33970
615,OX-8862021010097,2022-09-27 18:05:20,8141
23,OX-8862021010002,2022-09-27 18:08:33,12560
211,OX-8862021010097,2022-09-27 18:06:03,8142
95,OX-8862021010097,2022-09-27 18:06:51,8143
1,OX-8862021010010,2022-09-27 18:09:53,3609
230,OX-8862021010097,2022-09-27 18:08:38,8144
275,OX-8862021010094,2022-09-27 18:08:34,11332
640,OX-8862021010012,2022-09-27 18:10:09,6036
404,OX-8862021010013,2022-09-27 18:09:56,6616
624,OX-8862021010082,2022-09-27 18:11:53,11558
256,OX-8862021010096,2022-09-27 18:08:58,7543
128,OX-8862021010079,2022-09-27 18:14:32,12558
257,OX-8862021010096,2022-09-27 18:09:16,7544
1,OX-8862021010010,2022-09-27 18:13:27,3610
505,OX-8862021010096,2022-09-27 18:09:48,7545
567,OX-8862021010082,2022-09-27 18:13:27,11559
19,FC-8300T20094179,2022-09-27 18:14:42,33971
547,OX-8862021010003,2022-09-27 18:17:25,21793
269,OX-8862021010100,2022-09-27 18:16:27,18768
275,OX-8862021010094,2022-09-27 18:14:25,11333
567,OX-8862021010082,2022-09-27 18:16:44,11560
9,FC-8300T20094181,2022-09-27 18:15:02,20199
48,FC-8300T20094181,2022-09-27 18:15:39,20200
524,OX-8862021010003,2022-09-27 18:19:35,21794
260,OX-8862021010079,2022-09-27 18:21:49,12559
76,OX-8862021010099,2022-09-27 18:20:50,13386
68,OX-8862021010012,2022-09-27 18:21:04,6037
506,OX-8862021010095,2022-09-27 18:20:15,10762
404,OX-8862021010013,2022-09-27 18:23:05,6617
672,OX-8862021010014,2022-09-27 18:22:20,22950
282,FC-8300T20094181,2022-09-27 18:22:59,20201
1,OX-8862021010010,2022-09-27 18:25:38,3611
1,OX-8862021010010,2022-09-27 18:25:42,3612
544,OX-8862021010099,2022-09-27 18:26:17,13387
1,OX-8862021010010,2022-09-27 18:26:10,3613
1,OX-8862021010010,2022-09-27 18:26:19,3614
1,OX-8862021010010,2022-09-27 18:26:26,3615
73,FC-8300T20094179,2022-09-27 18:25:25,33972
538,OX-8862021010078,2022-09-27 18:27:52,13007
1,OX-8862021010010,2022-09-27 18:26:38,3616
1,OX-8862021010010,2022-09-27 18:26:42,3617
1,OX-8862021010010,2022-09-27 18:26:49,3618
1,OX-8862021010010,2022-09-27 18:26:53,3619
625,OX-8862021010002,2022-09-27 18:27:38,12561
1,OX-8862021010010,2022-09-27 18:27:00,3620
234,OX-8862021010012,2022-09-27 18:25:57,6038
1,OX-8862021010010,2022-09-27 18:27:04,3621
1,OX-8862021010010,2022-09-27 18:27:08,3622
260,OX-8862021010079,2022-09-27 18:29:08,12560
403,OX-8862021010013,2022-09-27 18:26:06,6618
524,OX-8862021010003,2022-09-27 18:29:47,21795
610,OX-8862021010092,2022-09-27 18:26:36,23633
46,OX-8862021010024,2022-09-27 18:29:07,13989
1,OX-8862021010010,2022-09-27 18:29:32,3623
1,OX-8862021010010,2022-09-27 18:29:36,3624
1,OX-8862021010010,2022-09-27 18:29:44,3625
1,OX-8862021010010,2022-09-27 18:29:48,3626
1,OX-8862021010010,2022-09-27 18:29:52,3627
1,OX-8862021010010,2022-09-27 18:29:56,3628
1,OX-8862021010010,2022-09-27 18:30:00,3629
289,FC-8300T20094182,2022-09-27 18:29:50,52660
48,FC-8300T20094181,2022-09-27 18:28:37,20202
605,OX-8862021010015,2022-09-27 18:28:47,14882
538,OX-8862021010078,2022-09-27 18:33:41,13008
